title,abstract,publication_year,doi,type,oa_url,author,concept,topic,subfield,pdf_url,cited_by_count,id
Overwinter habitat selection by Antarctic krill under varying sea-ice conditions: implications for top predators and fishery management,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 568:1-16 (2017) - DOI: https://doi.org/10.3354/meps12099 FEATURE ARTICLE Overwinter habitat selection by Antarctic krill under varying sea-ice conditions: implications for top predators and fishery management Christian S. Reiss1,*, Anthony Cossio1, Jarrod A. Santora2, Kimberly S. Dietrich1, Alison Murray3, B. Greg Mitchell4, Jennifer Walsh1, Elliot L. Weiss4, Carla Gimpel5, Christopher D. Jones1, George M. Watters1 1Antarctic Ecosystem Research Division, Southwest Fisheries Science Center, La Jolla, CA 92037, USA 2Department of Applied Mathematics and Statistics, Center for Stock Assessment Research, University of California, Santa Cruz, CA 95060, USA 3Desert Research Institute, University of Nevada, Reno, NV 89096, USA 4Scripps Institution of Oceanography, University of California, San Diego, La Jolla, CA 92093, USA 5Center for Microbial Ecology Research and Education, University of Hawaii, HI 96822, USA *Corresponding author: christian.reiss@noaa.gov ABSTRACT: Climate change will affect Antarctic krill Euphausia superba, krill-dependent predators, and fisheries in the Southern Ocean as areas typically covered by sea ice become ice-free in some winters. Research cruises conducted around the South Shetland Islands of the Antarctic Peninsula during winters with contrasting ice conditions provide the first acoustic estimates of krill biomass, habitat use, and association with top predators to examine potential interactions with the krill fishery. Krill abundance was very low in offshore waters during all winters. In Bransfield Strait, median krill abundance was an order of magnitude higher (8 krill m-2) compared to summer (0.25 krill m-2), and this pattern was observed in all winters regardless of ice cover. Acoustic estimates of krill biomass were also an order of magnitude higher (~5500000 metric tons [t] in 2014) than a 15 yr summer average (520000 t). Looking at krill-dependent predators, during winter, crabeater seals Lobodon carcinophagus were concentrated in Bransfield Strait where ice provided habitat, while Antarctic fur seals Arctocephalus gazella were more broadly distributed. Krill overwinter in coastal basin environments independent of ice and primary production and in an area that is becoming more frequently ice-free. While long-term projections of climate change have focused on changing krill habitat and productivity declines, more immediate impacts of ongoing climate change include increased risks of negative fishery-krill-predator interactions, alteration of upper trophic level community structure, and changes in the pelagic ecology of this system. Development of management strategies to mitigate the increased risk to krill populations and their dependent predators over management timescales will be necessary to minimize the impacts of long-term climate change. KEY WORDS: Southern Ocean · Antarctic krill · Fishery interactions · Sea ice · Commission for the Conservation of Antarctic Marine Living Resources · CCAMLR · Ocean warming Full text in pdf format Information about this Feature Article NextCite this article as: Reiss CS, Cossio A, Santora JA, Dietrich KS and others (2017) Overwinter habitat selection by Antarctic krill under varying sea-ice conditions: implications for top predators and fishery management. Mar Ecol Prog Ser 568:1-16. https://doi.org/10.3354/meps12099 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 568. Online publication date: March 24, 2017 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2017 Inter-Research.",2017,https://doi.org/10.3354/meps12099,article,https://www.int-res.com/articles/feature/m568p001.pdf,CS Reiss; Alexandra Cossio; JA Santora; KS Dietrich; Alison E. Murray; B. Greg Mitchell; Jennifer Walsh; Elliot L. Weiss; Carla Gimpel; CD Jones; GM Watters,Krill; Antarctic krill; Fishery; Euphausia; Predation; Oceanography; Sea ice,Marine and fisheries research; Arctic and Antarctic ice dynamics; Marine animal studies overview,Global and Planetary Change; Atmospheric Science; Ecology,https://www.int-res.com/articles/feature/m568p001.pdf,83,90
"ZOOPLANKTONIC ASSOCIATIONS, THROPHIC RELATIONS AND STANDING STOCK OF KRILL AND OTHER GROUPS OF THE COMMUNITY NEAR ELEPHANT ISLAND (FEBRUARY - MARCH 84/85)","Plankton samples were taken near Elephant Island on two oceanographic cruises of “NApOc Barão de Teffé” during the 2nd and 3rd Brazilian Antarctic Expeditions in February-March 1984 and 1985. Oblique hauls were performed with 325 /xm conical nets provided with calibrated flowmeters. Identification of species of zooplankton and phytoplankton of the stomach contents was made and distribution and abudance of zooplanktonic species were studied. Salps pellets were analysed too. The population structure of Euphausiacea of the two cruises was analysed and compared. During February-March 1984 a characteristic zooplanktonic association was found named ""Salpidae Water” composed by Salpidae, the dominant group, Euphausiacea, Amphipoda and species of big Copepoda. The krill standing stock was very low and only furcilias V, VI, juveniles, subadults and adults were found. The high number of Salpidae changed the common composition of the antarctic zooplanktonic community excluding small filter — feeding species and allowing the survival of another of big size and carnivorous. The specific composition of samples obtained in February-March 1985 was different showing a drastic diminution of Salpidae and the occurrence of Copepoda populations, species and larvae of small size. The krill standing stock was higher than 1984 and the populations were represented by all larval stages occurred in small numbers.All these differences and variations are discussed. Based on the results of the study of the stomach contents and of the salp pellets and on the data of the other authors a trophic relations outline of the zooplankton community is given. Associações zooplanctônicas, relações tróficas e standing stock do krill e outros grupos da comunidade próximo à Ilha Elefante (Fevereiro — Março 84/85).Durante as 2a e 3a Expedições Brasileiras à Antártica realizadas pelo “NApOc Barão de Teffé” durante os meses de fevereiro e março de 1984 e 1985, foram efetuadas coletas de zooplâncton ao redor da Ilha Elefante. O material foi obtido mediante arrastos obliquos efetuados com redes cônicas de 325 um de abertura de malha, providas de fluxômetros calibrados. Foi identificado o zooplâncton a nível de espécie e seu conteúdo digestivo e os “ pellets” encontrados nas amostras. Foi estudada a distribuição e abundância de cada uma das espécies e foi analisada e comparada a estrutura das populações de Euphausiacea nos dois cruzeiros. Durante a período fevereiro/março de 1984 foi encontrada uma associação característica denominada ""Água de Salpas” composta por Salpidae, Euphausiacea, Amphipoda e espécies de grande porte de Copepoda. O ""standing stock” de krill apresentou valores muito baixos e as populações estiveram representadas somente por furcilias V, VI, juveniles, subadultos e adultos. A dominância de Salpidae modificou, o que poderia ser chamada de composição comum da comunidade zooplanctônica, excluindo espécies filtradoras pequenas e permitindo a sobrevivência de espécies de maior porte e de carnívoros. A composição específica das amostras obtidas durante o período fevereiro/março de 1985 modificou-se apresentando uma drástica diminuição de Salpidae, o reaparecimento de populações de Copepoda e de espécies e larvas de pequeno tamanho. O “standing stock” de krill foi maior que o registrado no período de fevereiro/março de 1984 e as populações estiveram compostas por indivíduos de todos os estádios larvais a partir de Caliptopis I e ao contrário da campanha anterior, juvenis, subadultos encontram-se em menor número.Todas estas diferenças e variações são discutidas. Em base nos dados obtidos do conteúdo estomacal das espécies zooplanctônicas, dos “pellets” das Salpas e dados de outros autores, é dado um esboço das relações tróficas da comunidade.",1986,https://doi.org/10.5380/rn.v1i3.41199,article,https://revistas.ufpr.br/neritica/article/download/41199/25181,M. Montú; Ildo Ritter de Oliveira,Euphausiacea; Krill; Zooplankton; Biology,Marine and fisheries research; Coastal and Marine Management; Marine Bivalve and Aquaculture Studies,"Global and Planetary Change; Management, Monitoring, Policy and Law; Global and Planetary Change",https://revistas.ufpr.br/neritica/article/download/41199/25181,6,91
Spatial association between hotspots of baleen whales and demographic patterns of Antarctic krill Euphausia superba suggests size-dependent predation,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 405:255-269 (2010) - DOI: https://doi.org/10.3354/meps08513 Spatial association between hotspots of baleen whales and demographic patterns of Antarctic krill Euphausia superba suggests size-dependent predation Jarrod A. Santora1,2,*, Christian S. Reiss2, Valerie J. Loeb3, Richard R. Veit4 1Farallon Institute for Advanced Ecosystem Research, PO Box 750756, Petaluma, California 94952, USA 2Antarctic Ecosystem Research Division, Southwest Fisheries Science Center, 3333 Torrey Pines Ct., La Jolla, California 92037, USA 3Moss Landing Marine Laboratories, 8272 Moss Landing Road, Moss Landing, California 95039, USA 4Biology Department, College of Staten Island, City University of New York, 2800 Victory Boulevard, Staten Island, New York 10314, USA *Email: jasantora@gmail.com ABSTRACT: We examined the spatial association between baleen whales and their principal prey, Antarctic krill Euphausia superba near the South Shetland Islands (Antarctic Peninsula) using data collected by the US Antarctic Marine Living Resources (AMLR) program during January surveys from 2003 through 2007. Whale distributions were determined using ship-based visual surveys, while data on krill distribution, abundance, and demographic characteristics were derived from net hauls. Approximately 25000 km of transects and 500 net hauls were sampled over 5 yr. We defined hotspots based on statistical criteria to describe persistent areas of occurrence of both whales and krill. Hotspots were identified, and whales and krill length-maturity classes exhibited distinct spatial segregation in their distribution patterns. We found that baleen whales aggregated to krill hotspots that differed in size structure. Humpback whales Megaptera novaeangliae were associated with small (<35 mm) juvenile krill in Bransfield Strait, whereas fin whales Balaenoptera physalus were associated with large (>45 mm) mature krill located offshore. Overlapping these size-dependent krill distributions, Antarctic minke whales B. bonaerensis were associated with intermediate sized krill (35–44 mm). The correlation among different whale species and krill swarms of differing size composition presents an intriguing pattern that deserves further study. KEY WORDS: Antarctica · Euphausia superba · Krill · Fin whale · Humpback whale · Minke whale · Spatial association · Hotspot Full text in pdf format PreviousNextCite this article as: Santora JA, Reiss CS, Loeb VJ, Veit RR (2010) Spatial association between hotspots of baleen whales and demographic patterns of Antarctic krill Euphausia superba suggests size-dependent predation. Mar Ecol Prog Ser 405:255-269. https://doi.org/10.3354/meps08513 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 405. Online publication date: April 29, 2010 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2010 Inter-Research.",2010,https://doi.org/10.3354/meps08513,article,https://www.int-res.com/articles/meps2010/405/m405p255.pdf,JA Santora; CS Reiss; VJ Loeb; RR Veit,Euphausia; Krill; Baleen; Antarctic krill; Euphausiacea; Albatross; Oceanography,Marine animal studies overview; Arctic and Antarctic ice dynamics; Marine and fisheries research,Ecology; Atmospheric Science; Global and Planetary Change,https://www.int-res.com/articles/meps2010/405/m405p255.pdf,124,92
Whale distribution in relation to prey abundance and oceanographic processes in shelf waters of the Western Antarctic Peninsula,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 317:297-310 (2006) - doi:10.3354/meps317297 Whale distribution in relation to prey abundance and oceanographic processes in shelf waters of the Western Antarctic Peninsula Ari S. Friedlaender1,*, Pat N. Halpin1, Song S. Qian2, Gareth L. Lawson3, Peter H. Wiebe3, Deb Thiele4, Andrew J. Read1 1Duke University Marine Laboratory, 135 Pivers Island Road, Beaufort, North Carolina 28516, USA 2Nicholas School of the Environment and Earth Sciences, Duke University, Durham, North Carolina 27708, USA 3Woods Hole Oceanographic Institution, Woods Hole, Massachusetts 02543, USA 4Deakin University, School of Ecology and Environment, Warrnambool, Victoria 3280, Australia *Email: asf7@duke.edu ABSTRACT: The Western Antarctic Peninsula (WAP) is a biologically rich area supporting large standing stocks of krill and top predators (including whales, seals and seabirds). Physical forcing greatly affects productivity, recruitment, survival and distribution of krill in this area. In turn, such interactions are likely to affect the distribution of baleen whales. The Southern Ocean GLOBEC research program aims to explore the relationships and interactions between the environment, krill and predators around Marguerite Bay (WAP) in autumn 2001 and 2002. Bathymetric and environmental variables including acoustic backscattering as an indicator of prey abundance were used to model whale distribution patterns. We used an iterative approach employing (1) classification and regression tree (CART) models to identify oceanographic and ecological variables contributing to variability in humpback Megaptera novaeangliae and minke Balaenoptera acutorstrata whale distribution, and (2) generalized additive models (GAMs) to elucidate functional ecological relationships between these variables and whale distribution. The CART models indicated that the cetacean distribution was tightly coupled with zooplankton acoustic volume backscatter in the upper (25 to 100 m), and middle (100 to 300 m) portions of the water column. Whale distribution was also related to distance from the ice edge and bathymetric slope. The GAMs indicated a persistent, strong, positive relationship between increasing zooplankton volume and whale relative abundance. Furthermore, there was a lower limit for averaged acoustic volume backscatter of zooplankton below which the relationship between whales and prey was not significant. The GAMs also supported an annual relationship between whale distribution, distance from the ice edge and bathymetric slope, suggesting that these are important features for aggregating prey. Our results demonstrate that during the 2 yr study, whales were consistently and predictably associated with the distribution of zooplankton. Thus, humpback and minke whales may be able to locate physical features and oceanographic processes that enhance prey aggregation. KEY WORDS: Whale distribution · Zooplankton · Ice edge · Antarctica · SO GLOBEC · CART · GAM Full text in pdf format PreviousExport citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 317. Online publication date: July 18, 2006 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2006 Inter-Research.",2006,https://doi.org/10.3354/meps317297,article,https://www.int-res.com/articles/meps2006/317/m317p297.pdf,AS Friedlaender; PN Halpin; Song S. Qian; GL Lawson; Peter H. Wiebe; Deborah Thiele; AJ Read,Baleen; Oceanography; Krill; Whale; Fishery; Bay; Peninsula,Marine animal studies overview; Marine and fisheries research; Arctic and Antarctic ice dynamics,Ecology; Global and Planetary Change; Atmospheric Science,https://www.int-res.com/articles/meps2006/317/m317p297.pdf,228,93
Is current management of the Antarctic krill fishery in the Atlantic sector of the Southern Ocean precautionary,"This paper explains the management of the Antarctic krill (Euphausia superba) fishery in the Atlantic sector of the Southern Ocean, and current knowledge about the state of the regional krill stock. In this region, krill fishing is permitted in an area of approximately 3.5 million km2 which is divided into four subareas (labelled Subareas 48.1 to 48.4) for management and reporting purposes. The effective regional catch limit (or ‘trigger level’), established in 1991, is 0.62 million tonnes year–1, equivalent to ~1% of the regional biomass estimated in 2000. Each subarea has also had its own catch limit, between 0.093 and 0.279 million tonnes year–1, since 2009. There is some evidence for a decline in the abundance of krill in the 1980s, but no evidence of a further decline in recent decades. Local-scale monitoring programs have been established in three of the subareas to monitor krill biomass in survey grids covering between 10 000 and 125 000 km2. Cautious extrapolation from these local monitoring programs provides conservative estimates of the regional biomass in recent years. This suggests that fishing at the trigger level would be equivalent to a long-term exploitation rate (annual catch divided by biomass) of <7%, which is below the 9.3% level considered appropriate to maintain the krill stock and support krill predators.
Subarea catch limits exceed 9.3% of conservatively estimated subarea biomass in up
to 20% of years due to high variability in krill biomass indices. The actual exploitation
rate in each subarea has remained <3% because annual catches have been <50% of the
trigger level since 1991. Comparison with the 9.3% reference exploitation rate suggests
that current management is precautionary at the regional scale. The subarea catch limits
help prevent excessive concentration of catch at the subarea scale. Finer-scale management
might be necessary to manage the risk of adverse impacts which might occur as a
result of concentrated fishing in sensitive areas or climate change. Frequent assessment
of the krill stock will enhance CCAMLR’s ability to manage these risks. Continuing the
local monitoring programs will provide valuable information on krill variability, but more
information is required on how the monitored biomass relates to biomass at the subarea
and regional scales.",2016,NA,article,NA,Simeon L. Hill; Angus Atkinson; Chris Darby; Sofie Fielding; Bjørn A. Krafft; Olav Rune Godø; Georg Skaret; Philip N. Trathan; John Watkins,Krill; Euphausia; Antarctic krill; Fishery; Fishing; Biomass (ecology); Environmental science; Oceanography,Marine and fisheries research; Fish Ecology and Management Studies; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Nature and Landscape Conservation; Global and Planetary Change,NA,43,94
"Trends, cycles, interannual variability for three pelagic species west of the Antarctic Peninsula 1993-2008","MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 515:11-32 (2014) - DOI: https://doi.org/10.3354/meps10965 Trends, cycles, interannual variability for three pelagic species west of the Antarctic Peninsula 1993-2008 Robin M. Ross1,*, Langdon B. Quetin1, Timothy Newberger2, C. Tracy Shaw3, Janice L. Jones1, Stephanie A. Oakes4, Kelly J. Moore5 1Marine Science Institute, University of California at Santa Barbara, Santa Barbara, CA 93106-6150, USA 2NOAA/GMD-1, 325 Broadway, Boulder, CO 80305, USA 3Hatfield Marine Science Center, 2030 SE Marine Science Dr, Newport, OR 97365, USA 4Marine Ecosystem Division, Office of Science and Technology, NOAA NMFS, 1315 East-West Highway, Silver Springs, MD 20910, USA 5Channel Islands National Park, 1901 Spinnaker Drive, Ventura, CA 93001, USA *Corresponding author: ross@msi.ucsb.edu ABSTRACT: The Palmer Long Term Ecological Research study region west of the Antarctic Peninsula is experiencing warming and changing seasonal sea ice dynamics. Abundance patterns of 3 species of pelagic secondary producers were analyzed for trends, cycles, range extensions or shifts in the location of highest density, and for changes in population dynamics over a 16 yr period (1993-2008). Species analyzed represented different hydrographic regimes and are known to have contrasting responses to seasonal sea ice dynamics: krill Euphausia superba, seasonal sea ice zone; tunicates Salpa thompsoni, warmer waters with minimal sea ice; and larval Antarctic silverfish Pleuragramma antarcticum, cold continental shelf waters. Cycles were observed in grid-wide abundance and recruitment for E. superba. Maximum grid-wide densities did not decrease, but the location of highest densities shifted southward 200 km, away from Adélie penguin rookeries at the northern end. A distinct change post-1999 was apparent in the frequency of occurrence and abundance of S. thompsoni. Mixtures of krill and salps became common, but neither peak densities nor the frequency of peak years for salps increased. As with Antarctic krill, highest salp densities shifted southward alongshore. Larval P. antarcticum were abundant in the northern coastal region in the early 1990s, but virtually disappeared in that region after 1999/2000. Possible mechanisms underlying these observations include the southerly movement of the sea ice edge during spring, changes in proximity of source populations (salps), and changes in transport pathways (larval P. antarcticum). Patterns are compared to those in the SW Atlantic. KEY WORDS: Time-series for Antarctic zooplankton · Antarctic krill · Antarctic silverfish Full text in pdf format PreviousNextCite this article as: Ross RM, Quetin LB, Newberger T, Shaw TC, Jones JL, Oakes SA, Moore KJ (2014) Trends, cycles, interannual variability for three pelagic species west of the Antarctic Peninsula 1993-2008. Mar Ecol Prog Ser 515:11-32. https://doi.org/10.3354/meps10965 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 515. Online publication date: November 18, 2014 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2014 Inter-Research.",2014,https://doi.org/10.3354/meps10965,article,https://www.int-res.com/articles/meps_oa/m515p011.pdf,RM Ross; LB Quetin; Timothy Newberger; TC Shaw; Joanne Jones; SA Oakes; KJ Moore,Pelagic zone; Oceanography; Sea ice,Isotope Analysis in Ecology; Marine and fisheries research; Marine and coastal ecosystems,Ecology; Global and Planetary Change; Oceanography,https://www.int-res.com/articles/meps_oa/m515p011.pdf,54,95
"CHARACTERISTICS OF SEASONAL VARIATION IN DIURNAL VERTICAL MIGRATION AND AGGREGATION OF ANTARCTIC KRILL (EUPHAUSIA SUPERBA) IN THE SCOTIA SEA, USING JAPANESE FISHERY DATA","Seasonal variation in the diurnal vertical migration and aggregation of Antarctic krill (Euphausia superba) associated with the daylight phase over the diurnal cycle (i.e. brightness categories) was examined for the Scotia Sea (South Shetland Islands (SS), South Orkney Islands (SO) and South Georgia (SG) areas) using Japanese fi shery data. Average trawling depth usually showed a marked diurnal change during summer and winter in SS and SO. Daily average trawling depth tended to be shallower during austral summer and early autumn, deepened gradually from autumn and reached maximum depth in winter in the Scotia Sea, shifting to shallower depths again in early spring. The average catchper-unit-effort (CPUE) was highest during the day and lowest at night in autumn and winter in each area, but lower during the day in summer in SS and SO. It is suggested that the seasonal and diurnal changes in vertical migration and aggregation of krill are closely related to its feeding and spawning ecology and avoidance of visual predators.",2005,NA,article,NA,Kenji Taki; Tomonari Hayashi; Mikio Naganobu,Euphausia; Krill; Antarctic krill; Trawling; Oceanography; Shetland; Diel vertical migration; Euphausiacea; Environmental science,Marine and fisheries research; Marine Bivalve and Aquaculture Studies; Coral and Marine Ecosystems Studies,Global and Planetary Change; Global and Planetary Change; Ecology,NA,53,96
Ecological responses of Antarctic krill to environmental variability: can we predict the future?,"Abstract Antarctic krill are a key species in the Southern Ocean ecosystem, and their life cycle appears to be correlated with, and by implication dependent upon, seasonal sea ice dynamics. Moving from correlations with environmental parameters to an understanding of the mechanisms that lead to these correlations may allow predictions of the consequences of climate change on the distribution of favourable habitat for Antarctic krill. During winter cruises in 2001 and 2002 in the region west of the Antarctic Peninsula, one of the most rapidly warming regions on the planet, ice camps were established for periods of 3–9 days. Timing of sea ice advance, chlorophyll a concentrations in ice cores, and growth rates and pigment content of larval krill all differed significantly between winters. Growth rates and pigment content of larval krill from the same ice floe were correlated, suggesting that growth rates in winter are a function of the biomass of the sea ice microbial community. Apossible mechanism underlying the correlation between recruitment success and timing of ice advance is proposed. In conjunction with other postulated habitat requirements, this proposed mechanism allows for speculation about future changes in the geographic location of favourable habitat for Antarctic krill.",2007,https://doi.org/10.1017/s0954102007000363,article,NA,Langdon B. Quetin; Robin M. Ross; Christian H. Fritsen; María Vernet,Antarctic krill; Krill; Biomass (ecology); Sea ice; Oceanography; Environmental science,Marine and fisheries research; Physiological and biochemical adaptations; Arctic and Antarctic ice dynamics,Global and Planetary Change; Ecology; Atmospheric Science,NA,84,97
School Composition of the Antarctic Krill Euphausia Superba in the Waters West of the Antarctic Peninsula in the Austral Summer of 1982,"During the austral summer of 1982, we determined the composition of schools of Antarctic krill, Euphausia superba, from the waters west of the Antarctic Peninsula. School composition was variable. We found that schools of different size and maturity composition were geographically separated. Gravid females were found to the northwest of the South Shetland Islands arc and south of Elephant Island. Schools from inside Bransfield Strait and between Palmer Archipelago and the Antarctic Peninsula were primarily juveniles. Schools of mixed composition were found between these two areas, where a southwesterly current coming from a region of gravid females and a northeasterly current coming from a region of juveniles meet. The distribution pattern found during the summer of 1982 has been seen in part by earlier investigators, leading us to believe that the pattern is more than a transitory phenomenon. The location of areas of potential recruitment is particularly important for future management schemes for the developing krill fishery.",1984,https://doi.org/10.1163/1937240x84x00525,article,NA,Langdon B. Quetin; Robin M. Ross,Euphausia; Shetland; Krill; Antarctic krill; Peninsula; Oceanography; Biology; Archipelago; Crustacean,Marine and fisheries research; Fish Ecology and Management Studies; Animal Behavior and Reproduction,"Global and Planetary Change; Nature and Landscape Conservation; Ecology, Evolution, Behavior and Systematics",NA,46,98
"Overwintering development, growth, and feeding of larval <i>Euphausia superba</i> in the Antarctic marginal ice zone","Seasonal extent of pack ice has enormous influence on the Antarctic ecosystem. An investigation of the marginal ice zone in winter took place in the Scotia‐Weddell Seas, a major nursery ground for the Antarctic krill Euphausia superba . Krill larvae were abundant at the ice edge and on the undersurfaces of ice floes where the pack ice provided greater concentrations of food and a superior refuge compared to the water column. Larval development and growth, which is dependent on food supply, progressed steadily from June through August. In early June, furcilia stages F3–F5 were most abundant but, by August, F6s and juveniles predominated. Krill molted about every 20 d and growth rates (0.07 mm d −1 ) were similar to reported summer rates. Gut fullness indicated that 98% of the larvae were feeding both day and night. Ingestion rates based on gut pigments, however, were inadequate to meet respiratory requirements. Dietary analysis revealed that in addition to diatoms, larvae ingest protozoans and possibly detritus. If heterotrophic C is considered, larval krill feeding on sea ice biota could ingest sufficient C to support observed growth. Seasonal pack ice coverage over nursery grounds thus plays an important role in the overwintering of larval krill.",1990,https://doi.org/10.4319/lo.1990.35.7.1564,article,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lo.1990.35.7.1564,Kendra L. Daly,Euphausia; Krill; Antarctic krill; Overwintering; Biology,Aquaculture Nutrition and Growth; Marine and fisheries research; Marine Bivalve and Aquaculture Studies,Aquatic Science; Global and Planetary Change; Global and Planetary Change,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lo.1990.35.7.1564,204,99
Environmental Variability and Its Impact on the Reproductive Cycle of Antarctic Krill1,"“Recruitment potential” in Antarctic krill in the Palmer Long-Term Ecological Research (LTER) study region west of the Antarctic Peninsula varied significantly over the 7-yr time series between January 1993 and January 1999. Timing of ovarian maturation, the percent of the population reproducing, and individual reproductive output (batch volume, embryo diameter) were measured. Indices have been developed to quantify the timing and intensity of reproduction in Antarctic krill. One finding important to estimates of population fecundity for this long-lived species is that the percent of the population reproducing can vary widely, from 10 to 98%. Each season was characterized as having delayed, average or advanced ovarian development. In this study we relate these indices to direct and indirect indicators of spring or annual food availability. The timing of the spring sea ice retreat and the extent of sea ice in the spring (September through November) appear to significantly affect the intensity and timing of reproduction in the population. Intensity of reproduction was highest under “average” conditions, and oöcyte development fastest with conditions of a late retreat and high spring sea ice extent.",2001,https://doi.org/10.1668/0003-1569(2001)041[0074:evaiio]2.0.co;2,article,NA,Langdon B. Quetin; Robin M. Ross,Fecundity; Antarctic krill; Population; Reproduction; Peninsula; Krill; Environmental science,Marine and fisheries research; Fish Ecology and Management Studies; Arctic and Antarctic ice dynamics,Global and Planetary Change; Nature and Landscape Conservation; Atmospheric Science,NA,77,100
An assessment of the use of ocean gliders to undertake acoustic measurements of zooplankton: the distribution and density of Antarctic krill (<i>Euphausia superba</i>) in the Weddell Sea.,"A calibrated 120 kHz single‐beam echo‐sounder was integrated into an ocean glider and deployed in the Weddell Sea, Southern Ocean. The glider was deployed for two short periods in January 2012, in separate survey boxes on the continental shelf to the east of the Antarctic Peninsula, to assess the distribution of Antarctic krill ( Euphausia superba ). During the glider missions, a research vessel undertook acoustic transects using a calibrated, hull‐mounted, multi‐frequency echo‐sounder. Net hauls were taken to validate acoustic targets and parameterize acoustic models. Krill targets were identified using a thresholded schools analysis technique (SHAPES), and acoustic data were converted to krill density using the stochastic distorted‐wave Born approximation (SDWBA) target strength model. A sensitivity analysis of glider pitch and roll indicated that, if not taken into account, glider orientation can impact density estimates by up to 8‐fold. Glider‐based, echo‐sounder—derived krill density profiles for the two survey boxes showed features coherent with ship‐borne measurements, with peak densities in both boxes around a depth of 60 m. Monte Carlo simulation of glider subsampling of ship‐borne data showed no significant difference from observed profiles. Simulated glider dives required at least an order of magnitude more time than the ship to similarly estimate the abundance of krill within the sample regions. These analyses highlight the need for suitable sampling strategies for glider‐based observations and are our first steps toward using autonomous underwater vehicles for ecosystem assessment and long‐term monitoring. With appropriate survey design, gliders can be used for estimating krill distribution and abundance.",2014,https://doi.org/10.4319/lom.2014.12.373,article,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lom.2014.12.373,Damien Guihen; Sophie Fielding; Eugene J. Murphy; Karen J. Heywood; G. Griffiths,Glider; Euphausia; Krill; Underwater glider; Echo sounding; Antarctic krill; Oceanography,Underwater Vehicles and Communication Systems; Underwater Acoustics Research; Marine animal studies overview,Ocean Engineering; Oceanography; Ecology,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lom.2014.12.373,53,101
