title,abstract,publication_year,doi,type,oa_url,author,concept,topic,subfield,pdf_url,cited_by_count,id
"The diversity, extracellular enzymatic activities and photoprotective compounds of yeasts isolated in Antarctica","The diversity of yeasts collected from different sites in Antarctica (Admiralty Bay, King George Island and Port Foster Bay and Deception Island) and their ability to produce extracellular enzymes and mycosporines were studied. Samples were collected during the austral summer season, between November 2006 and January 2007, from the rhizosphere of Deschampsia antarctica, ornithogenic (penguin guano) soil, soil, marine and lake sediments, marine water and freshwater from lakes. A total of 89 isolates belonging to the following genera were recovered: Bensingtonia, Candida, Cryptococcus, Debaryomyces, Dioszegia, Exophiala, Filobasidium, Issatchenkia (Pichia), Kodamaea, Leucosporidium, Leucosporidiella, Metschnikowia, Nadsonia, Pichia, Rhodotorula, and Sporidiobolus, and the yeast-like fungi Aureobasidium, Leuconeurospora and Microglossum. Cryptococcus victoriae was the most frequently identified species. Several species isolated in our study have been previously reported to be Antarctic psychophilic yeasts, including Cr. antarcticus, Cr. victoriae, Dioszegia hungarica and Leucosporidium scottii. The cosmopolitan yeast species A. pullulans, C. zeylanoides, D. hansenii, I. orientalis, K. ohmeri, P. guilliermondii, Rh. mucilaginosa, and S. salmonicolor were also isolated. Five possible new species were identified. Sixty percent of the yeasts had at least one detectable extracellular enzymatic activity. Cryptococcus antarcticus, D. aurantiaca, D. crocea, D. hungarica, Dioszegia sp., E. xenobiotica, Rh. glaciales, Rh. laryngis, Microglossum sp. 1 and Microglossum sp. 2 produced mycosporines. Of the yeast isolates, 41.7% produced pigments and/or mycosporines and could be considered adapted to survive in Antarctica. Most of the yeasts had extracellular enzymatic activities at 4ºC and 20ºC, indicating that they could be metabolically active in the sampled substrates.",2011,https://doi.org/10.1590/s1517-83822011000300012,article,http://www.scielo.br/pdf/bjm/v42n3/v42n3a12.pdf,Aline B.M. Vaz; Luiz Henrique Rosa; Mariana L.A. Vieira; Virginia de García; Luciana R. Brandão; Lia Teixeira; Martín Moliné; Diego Libkind; María van Broock; Carlos A. Rosa,Aureobasidium pullulans; Rhodotorula; Biology; Debaryomyces hansenii; Botany; Trichosporon; Cryptococcus; Yeast,Polar Research and Ecology; Diatoms and Algae Research; Biocrusts and Microbial Ecology,"Ecology; Biomaterials; Ecology, Evolution, Behavior and Systematics",http://www.scielo.br/pdf/bjm/v42n3/v42n3a12.pdf,153,111
INDICATOR SPECIES POPULATION MONITORING IN ANTARCTICA WITH UAV,"Abstract. A program to monitor bird and pinniped species in the vicinity of Arctowski Station, King George Island, South Shetlands, Antarctica, has been conducted over the past 38 years. Annual monitoring of these indicator species includes estimations of breeding population sizes of three Pygoscelis penguin species: Adélie, gentoo and chinstrap. Six penguin colonies situated on the western shores of two bays: Admiralty and King George are investigated. To study changes in penguin populations Unmanned Aerial Vehicles were used for the first time in the 2014/15 austral summer season. During photogrammetric flights the high-resolution images of eight penguin breeding colonies were taken. Obtained high resolution images were used for estimation of breeding population size and compared with the results of measurements taken at the same time from the ground. During this Antarctic expedition eight successful photogrammetry missions (total distance 1500 km) were performed. Images were taken with digital SLR Canon 700D, Nikon D5300, Nikon D5100 with a 35mm objective lens. Flights altitude at 350 – 400 AGL, allowed images to be taken with a resolution GSD (ground sample distance) less than 5 cm. The Image J software analysis method was tested to provide automatic population estimates from obtained images. The use of UAV for monitoring of indicator species, enabled data acquisition from areas inaccessible by ground methods.",2015,https://doi.org/10.5194/isprsarchives-xl-1-w4-189-2015,article,https://isprs-archives.copernicus.org/articles/XL-1-W4/189/2015/isprsarchives-XL-1-W4-189-2015.pdf,Anna Zmarz; Małgorzata Korczak−Abshire; Rune Storvold; Mirosław Rodzewicz; I. Kędzierska,Aerial survey; Population; Photogrammetry; Pygoscelis,Remote Sensing and LiDAR Applications; Polar Research and Ecology; 3D Surveying and Cultural Heritage,Environmental Engineering; Ecology; Geology,https://isprs-archives.copernicus.org/articles/XL-1-W4/189/2015/isprsarchives-XL-1-W4-189-2015.pdf,21,115
Age-Related Differences in the Gastrointestinal Microbiota of Chinstrap Penguins (Pygoscelis antarctica),"The gastrointestinal tract microbiota is known to play very important roles in the well being of animals. It is a complex community composed by hundreds of microbial species interacting closely among them and with their host, that is, a microbial ecosystem. The development of high throughput sequencing techniques allows studying the diversity of such communities in a realistic way and considerable work has been carried out in mammals and some birds such as chickens. Wild birds have received less attention and in particular, in the case of penguins, only a few individuals of five species have been examined with molecular techniques. We collected cloacal samples from Chinstrap penguins in the Vapour Col rookery in Deception Island, Antarctica, and carried out pyrosequencing of the V1-V3 region of the 16S rDNA in samples from 53 individuals, 27 adults and 26 chicks. This provided the first description of the Chinstrap penguin gastrointestinal tract microbiota and the most extensive in any penguin species. Firmicutes, Bacteoridetes, Proteobacteria, Fusobacteria, Actinobacteria, and Tenericutes were the main components. There were large differences between chicks and adults. The former had more Firmicutes and the latter more Bacteroidetes and Proteobacteria. In addition, adults had richer and more diverse bacterial communities than chicks. These differences were also observed between parents and their offspring. On the other hand, nests explained differences in bacterial communities only among chicks. We suggest that environmental factors have a higher importance than genetic factors in the microbiota composition of chicks. The results also showed surprisingly large differences in community composition with other Antarctic penguins including the congeneric Adélie and Gentoo penguins.",2016,https://doi.org/10.1371/journal.pone.0153215,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0153215&type=printable,Andrés Barbosa; Vanessa Balagué; Francisco Valera; Ana Martı́nez; Jesús Benzal; Miguel Motas; Julia I. Díaz; Álex Mira; Carlos Pedrós‐Alió,Pygoscelis; Firmicutes; Biology; Fusobacteria; Proteobacteria; Pyrosequencing; Zoology; Bacteroidetes; Ecology; Microbiome; Rookery,Gut microbiota and health; Reproductive tract infections research; Genomics and Phylogenetic Studies,Molecular Biology; Microbiology; Molecular Biology,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0153215&type=printable,80,119
The Effects of Hatching Date and Parental Quality on Chick Growth and Creching Age in the Chinstrap Penguin (Pygoscelis antarctica): A Field Experiment,"Negative effects of late breeding on chick growth and creching and fledging ages of chicks have been reported for Chinstrap Penguins (Pygoscelis antarctica). In a Chinstrap Penguin rookery on Deception Island, we experimentally tested two hypotheses to explain these effects of hatching date: (1) late breeding pairs are formed by low-quality breeders that are not able to feed their chicks efficiently and are forced to leave them unguarded at younger ages; and (2) late breeding pairs experience a conflict between properly caring for their chicks and commencing the period of premolt reserve storage. By exchanging chicks among nests hatched six days apart, we separated the effects of quality of adults (as expressed by their breeding dates) from the hatching date of chicks. We measured bill and flipper length and weighed chicks at 17 and 44 days of age, and noted the age at which chicks were left unguarded by parents. Late-hatched chicks attained smaller sizes and masses and were left unguarded at earlier ages than early-hatched chicks independent of the breeding date of the adults raising them. Also, chicks hatched on the same date but raised by adults with different breeding dates reached the same sizes and masses and were left unguarded at similar ages. Thus, seasonal changes in chick growth and creching age are related to hatching date, not to differences in parental quality.",1997,https://doi.org/10.2307/4089064,article,https://digital.csic.es/bitstream/10261/9271/1/barbosa.pdf,Juan Moreno; Jaime Potti; Santiago Merino,Pygoscelis; Hatching; Rookery; Fledge; Biology,Avian ecology and behavior; Arctic and Antarctic ice dynamics; Marine animal studies overview,Ecology; Atmospheric Science; Ecology,NA,66,122
"The diversity, extracellular enzymatic activities and photoprotective compounds of yeasts isolated in Antarctica.","The diversity of yeasts collected from different sites in Antarctica (Admiralty Bay, King George Island and Port Foster Bay and Deception Island) and their ability to produce extracellular enzymes and mycosporines were studied. Samples were collected during the austral summer season, between November 2006 and January 2007, from the rhizosphere of Deschampsia antarctica, ornithogenic (penguin guano) soil, soil, marine and lake sediments, marine water and freshwater from lakes. A total of 89 isolates belonging to the following genera were recovered: Bensingtonia, Candida, Cryptococcus, Debaryomyces, Dioszegia, Exophiala, Filobasidium, Issatchenkia (Pichia), Kodamaea, Leucosporidium, Leucosporidiella, Metschnikowia, Nadsonia, Pichia, Rhodotorula, and Sporidiobolus, and the yeast-like fungi Aureobasidium, Leuconeurospora and Microglossum. Cryptococcus victoriae was the most frequently identified species. Several species isolated in our study have been previously reported to be Antarctic psychophilic yeasts, including Cr. antarcticus, Cr. victoriae, Dioszegia hungarica and Leucosporidium scottii. The cosmopolitan yeast species A. pullulans, C. zeylanoides, D. hansenii, I. orientalis, K. ohmeri, P. guilliermondii, Rh. mucilaginosa, and S. salmonicolor were also isolated. Five possible new species were identified. Sixty percent of the yeasts had at least one detectable extracellular enzymatic activity. Cryptococcus antarcticus, D. aurantiaca, D. crocea, D. hungarica, Dioszegia sp., E. xenobiotica, Rh. glaciales, Rh. laryngis, Microglossum sp. 1 and Microglossum sp. 2 produced mycosporines. Of the yeast isolates, 41.7% produced pigments and/or mycosporines and could be considered adapted to survive in Antarctica. Most of the yeasts had extracellular enzymatic activities at 4°C and 20°C, indicating that they could be metabolically active in the sampled substrates.",2011,https://doi.org/10.1590/s1517-838220110003000012,article,NA,Aline B.M. Vaz; Luiz Henrique Rosa; Mariana L.A. Vieira; Virginia de García; Luciana R. Brandão; Lia Teixeira; Martín Moliné; Diego Libkind; María van Broock; Carlos A. Rosa,Aureobasidium pullulans; Rhodotorula; Biology; Debaryomyces hansenii; Botany; Cryptococcus; Trichosporon; Yeast,Polar Research and Ecology; Protist diversity and phylogeny; Microbial Community Ecology and Physiology,Ecology; Molecular Biology; Ecology,NA,127,123
Faecal microbiota changes associated with the moult fast in chinstrap and gentoo penguins,"In many seabirds, individuals abstain from eating during the moult period. Penguins have an intense moult that lasts for weeks, during which they are confined to land. Despite the importance for survival, it is still unclear how the faecal microbiota of Antarctic penguins changes in response to the moult fast. Here, we investigated the faecal microbiota of chinstrap (Pygoscelis antarcticus) and gentoo penguins (Pygoscelis papua) on King George Island, Antarctica. The bacterial community compositions during the feeding and moulting stages were compared for both species using bacterial 16S rRNA gene amplicon on an Illumina MiSeq platform. Our results showed that the moult fast altered the bacterial community structures in both penguin species. Interestingly, the bacterial community composition shifted in the same direction in response to the moult fast but formed two distinct clusters that were specific to each penguin species. A significant increase in bacterial diversity was observed in gentoo penguins, whereas no such change was observed for chinstrap penguins. By analysing the contribution of the ecological processes that determine bacterial community assembly, we observed that processes regulating community turnover were considerably different between the feeding and moulting stages for each penguin. At the phylum level, the relative abundances of Fusobacteria, Firmicutes and Proteobacteria were dominant in chinstrap penguins, and no significant changes were detected in these phyla between the feeding and moulting periods. Our results suggest that moult fast-induced changes in the faecal microbiota occur in both species.",2019,https://doi.org/10.1371/journal.pone.0216565,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0216565&type=printable,Won Young Lee; Hyunjun Cho; Mincheol Kim; Binu M. Tripathi; Jin-Woo Jung; Hosung Chung; Jeong‐Hoon Kim,Biology; Moulting; Pygoscelis; Ecology; Firmicutes; Zoology,Gut microbiota and health; Microbial Community Ecology and Physiology; Genomics and Phylogenetic Studies,Molecular Biology; Ecology; Molecular Biology,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0216565&type=printable,10,124
"Population trends of seabirds in Stinker Point, Elephant Island, South Shetlands - link to shapefiles",NA,2018,https://doi.org/10.1594/pangaea.887844,dataset,NA,Maria Virgı́nia Petry; Fernanda Caminha Leal Valls; Elisa de Souza Petersen; Júlia Victória Grohmann Finger; Lucas Krüger,Shapefile; Geography,Avian ecology and behavior; Isotope Analysis in Ecology; Geology and Paleoclimatology Research,Ecology; Ecology; Atmospheric Science,NA,1,128
Geochemical evidence for rapid enlargement of a gentoo penguin colony on Barton Peninsula in the maritime Antarctic,"Gentoo penguin Pygoscelis papua is an important component of the Antarctic marine ecosystem. In this paper, we use an indirect approach, a geochemical method combining with 137 Cs and 210 Pb CRS mode dating, to study the dynamics of the gentoo population and colony on Barton Peninsula, King George Island, in the maritime Antarctic. Five sediment profiles were sampled in the zone between the gentoo penguin colony and tundra vegetation on this peninsula and the sediment sequence and typical elements from penguin guano were analysed. Results showed that the levels for typical elements display a dramatic change at around 5 cm depth, indicating the strong impact of penguin guano. The sediments below 5 cm showed lower concentrations in these elements, suggesting that these sediments had received little impact from penguin guano. By Q-mode factor analysis, a method for decomposing multiple factors, we found that over the past sixty years the gentoo colony showed a rapid enlargement and the tundra vegetation had been destroyed. Possible factors responsible for the enlargement of the penguin colony are tentatively discussed.",2005,https://doi.org/10.1017/s0954102005002373,article,https://doi.org/10.1017/s0954102005002373,Renbin Zhu; Liguang Sun; Xuebin Yin; Zhouqing Xie; Xiaodong Liu,Guano; Tundra; Peninsula; Sediment; Oceanography; Vegetation (pathology),Isotope Analysis in Ecology; Marine animal studies overview; Marine and fisheries research,Ecology; Ecology; Global and Planetary Change,NA,30,132
Penguin head movement detected using small accelerometers: a proxy of prey encounter rate,"SUMMARY Determining temporal and spatial variation in feeding rates is essential for understanding the relationship between habitat features and the foraging behavior of top predators. In this study we examined the utility of head movement as a proxy of prey encounter rates in medium-sized Antarctic penguins, under the presumption that the birds should move their heads actively when they encounter and peck prey. A field study of free-ranging chinstrap and gentoo penguins was conducted at King George Island, Antarctica. Head movement was recorded using small accelerometers attached to the head, with simultaneous monitoring for prey encounter or body angle. The main prey was Antarctic krill (&amp;gt;99% in wet mass) for both species. Penguin head movement coincided with a slow change in body angle during dives. Active head movements were extracted using a high-pass filter (5 Hz acceleration signals) and the remaining acceleration peaks (higher than a threshold acceleration of 1.0 g) were counted. The timing of head movements coincided well with images of prey taken from the back-mounted cameras: head movement was recorded within ±2.5 s of a prey image on 89.1±16.1% (N=7 trips) of images. The number of head movements varied largely among dive bouts, suggesting large temporal variations in prey encounter rates. Our results show that head movement is an effective proxy of prey encounter, and we suggest that the method will be widely applicable for a variety of predators.",2011,https://doi.org/10.1242/jeb.058263,article,https://journals.biologists.com/jeb/article-pdf/214/22/3760/1439858/3760.pdf,Nobuo Kokubun; Jeong‐Hoon Kim; Hyoung-Chul Shin; Yasuhiko Naito; Akinori Takahashi,Accelerometer; Proxy (statistics); Predation; Head (geology); Movement (music),Animal Behavior and Reproduction; Avian ecology and behavior; Animal Vocal Communication and Behavior,"Ecology, Evolution, Behavior and Systematics; Ecology; Developmental Biology",https://journals.biologists.com/jeb/article-pdf/214/22/3760/1439858/3760.pdf,59,134
"Assessing colonies of Antarctic shags by unmanned aerial vehicle (UAV) at South Shetland Islands, Antarctica","Abstract Due to the remote location of colonies of Antarctic shags ( Phalacrocorax ( atriceps ) bransfieldensis ) in Antarctica, there is only sparse data on the abundance of this species. An unmanned aerial vehicle (UAV) survey for known and unknown Antarctic shag colonies along the coasts of Nelson Island and western King George Island, Antarctica, was conducted in December 2016. Four colonies, one of them previously unknown, were detected. For the first time since the 1980s, the total population size of the colonies in that area was determined. A comparison with previous estimates revealed evidence of a population increase by a factor of 2.86. To support future survey campaigns, several characteristic features of Antarctic shag colonies, nests and individuals in aerial imagery were identified. This makes possible more reliable detection and determination of population size in Antarctic shag colonies. These characteristic features were compared with those of chinstrap penguin colonies ( Pygoscelis antarcticus ) because these species often overlap spatially and are difficult to distinguish. In addition, the optimal weather conditions and flight parameters for an aerial survey were specified.",2021,https://doi.org/10.1017/s0954102020000644,article,NA,Christian Pfeifer; Marie-Charlott Rümmler; Osama Mustafa,Shetland; Pygoscelis; Aerial survey; Population; Oceanography; Geography,Turtle Biology and Conservation; Marine animal studies overview; Avian ecology and behavior,Nature and Landscape Conservation; Ecology; Ecology,NA,16,135
